gene	baseMean	estimate	stderror	statistic	p.value	p.adjusted
CNAG_01560	47.37047802655518	2.5862183675762602	0.5259950709288865	4.9168110321054925	8.796538858729062e-7	9.172760059148552e-5
CNAG_00269	15.121233549434715	2.277653782727915	0.33129839778014925	6.8749314756401985	6.2019663909163836e-12	3.0026377284022323e-9
CNAG_01562	810.026665450919	2.2426528056234547	0.5586332753589648	4.01453494545662	5.9563118853762036e-5	0.0027842677213158556
CNAG_06347	17559.026894552437	2.099540843707179	0.6840153618524086	3.0694352214858607	0.002144639096385171	0.03727272768025305
CNAG_02984	26.58223467959134	1.9950689897474922	0.4689732105500878	4.254121439916263	2.098713852258482e-5	0.001165990368082622
CNAG_00588	1261.5892162047708	1.9749945257963573	0.48068955419265114	4.1086695322794915	3.9794502836208014e-5	0.0019688112425096196
CNAG_03087	9.225981973663343	1.8863692315501392	0.4387353427396774	4.299560686792931	1.711370098248372e-5	9.914244893955099e-4
CNAG_04657	96.36667485135368	1.7920050615583378	0.34522944156900576	5.190765461410234	2.0943129848313154e-7	2.8390506822373313e-5
CNAG_01539	481.2076353310198	1.769176015848705	0.3427474248386258	5.161748528618933	2.4465380332237983e-7	3.251497017488413e-5
CNAG_01500	11.331477856894043	1.620176369225217	0.45616045337841177	3.5517685876227985	3.826512346524775e-4	0.010869736805792292
CNAG_00765	334.9635515487096	1.6130205013147099	0.2877683104927996	5.605274946891938	2.0792463197814576e-8	3.708718830389137e-6
CNAG_01524	304.27128348319883	1.5956951082159145	0.29398416162741875	5.427826789656176	5.7044358146031305e-8	8.787424079859095e-6
CNAG_01056	122.978696559665	1.4407720370470014	0.1985458462393658	7.256621401739196	3.968785290711468e-13	2.9889363000491477e-010
CNAG_01275	204.3607159735484	1.4091817764416732	0.30886644720368467	4.562430750247132	5.056477385341601e-6	3.7253047519397145e-4
CNAG_04025	38.608201836484	1.4026990858162	0.26278012569739223	5.337919228456021	9.401932356921221e-8	1.3558786705364262e-5
CNAG_06541	2115.1251227466173	1.3984120659391122	0.3757056955422156	3.7220944013662995	1.9757712389533306e-4	0.00690297807094107
CNAG_05833	36.758462115389	1.3900308988494963	0.21482696200070403	6.47046760752936	9.770009650141202e-11	2.879179365593786e-8
CNAG_05914	55.50104778529846	1.282301069706589	0.41180568114087157	3.1138498773355585	0.0018466342146217707	0.033920018175356
CNAG_01995	64.64349540968942	1.1878039818367618	0.36760924826917973	3.2311591382135174	0.0012328927660427203	0.025399839417135438
CNAG_03346	962.9031245802526	1.1836651245527567	0.16740132881827932	7.070822752175829	1.5401776490531563e-12	8.699436754401912e-10
CNAG_01621	16771.73168113553	1.1058672534205625	0.23639197810640786	4.678108209419759	2.89533749999327e-6	2.393243606701754e-4
CNAG_04978	170.31433809478693	1.0856707467659605	0.18631688024441684	5.82701226717483	5.642846601002452e-9	1.1590064927755947e-6
CNAG_07491	434.0331388095214	1.0821008757556754	0.22640196956746445	4.779555927993927	1.7568279785889625e-6	1.6837731796792916e-4
CNAG_04098	194.4688192379973	1.0797474666451725	0.20994847421374024	5.142916473619733	2.705059085879962e-7	3.459413298885732e-5
CNAG_06540	22.1643166597581	1.0538814276533228	0.3436568999371547	3.066667446066261	0.0021645953192600707	0.03743155026126336
CNAG_06890	13.247290992245293	1.0168562892155242	0.2569315455095287	3.9576934284148173	7.567699939510008e-5	0.0032861099233528037
